"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","TC_SF_006_validate_search_placeholder","Master Suite","Wed Sep 03 20:06:59 IST 2025","passed","Wed Sep 03 20:06:59 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_006_validate_search_placeholder"
"","832","TC_LF_003_verify_invalid_email_valid_password","Master Suite","Wed Sep 03 20:06:26 IST 2025","passed","Wed Sep 03 20:06:27 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_003_verify_invalid_email_valid_password"
"","937","TC_LF_004_verify_valid_email_invalid_password","Master Suite","Wed Sep 03 20:14:21 IST 2025","passed","Wed Sep 03 20:14:22 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_004_verify_valid_email_invalid_password"
"","558","TC_SF_008_validate_search_product_description","Master Suite","Wed Sep 03 20:14:54 IST 2025","passed","Wed Sep 03 20:14:54 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_008_validate_search_product_description"
"","29","TC_LF_001_verify_login","Master Suite","Wed Sep 03 19:40:50 IST 2025","broken","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_001_verify_login"
"","0","TC_LF_004_verify_valid_email_invalid_password","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_004_verify_valid_email_invalid_password"
"","273","TC_LF_007_verify_email_password_placeholder","Master Suite","Wed Sep 03 20:14:24 IST 2025","passed","Wed Sep 03 20:14:24 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_007_verify_email_password_placeholder"
"","854","TC_LF_003_verify_invalid_email_valid_password","Master Suite","Wed Sep 03 20:14:20 IST 2025","passed","Wed Sep 03 20:14:21 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_003_verify_invalid_email_valid_password"
"","0","TC_LF_006_verify_forgot_password_link","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_006_verify_forgot_password_link"
"","1","TC_LF_003_verify_invalid_email_valid_password","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_003_verify_invalid_email_valid_password"
